App,Category,Description,Auth,Self-Serve,Self-Serve Detail,API Type,MCP,Buildability,Blocker,Evidence,SDK,Rate Limits,Webhooks,Sandbox,Format,Confidence,app_id
Zendesk,Support and Helpdesk,"Customer service platform providing ticketing, messaging, knowledge base, and CRM APIs.",Not found in docs,Free trial then paid,"Create a developer account with a free, 14-day trial account.",REST (Broad (100+ endpoints)),No,Ready,None found,"<a href=""https://developer.zendesk.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.zendesk.com/...</a>",Not found in docs,Not documented,No,Yes,JSON,HIGH,11
Intercom,Support and Helpdesk,Integrate with Intercom using APIs and SDKs to build AI customer service solutions.,Not found in docs,Self-serve free,Get started by setting up a free development workspace to test and publish your app.,REST (Medium (20-100 endpoints)),No,Ready,None,"<a href=""https://developers.intercom.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.intercom.com/...</a>",Not found,Not documented,Yes,Yes,JSON,HIGH,12
Freshdesk,Support and Helpdesk,"Cloud-based customer support software offering ticketing, helpdesk, and automation tools.",Not found in docs,Self-serve free,Users can signup for free to get started with a Freshdesk account.,REST (Medium (20-100 endpoints)),No,Ready,,"<a href=""https://developers.freshdesk.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.freshdesk.com/...</a>",None found,Not documented,No,No,JSON,MEDIUM,13
Front,Support and Helpdesk,"Unified customer operations platform connecting conversations, external data, and AI automation.",Not found in docs,Free trial then paid,The page offers a 'Try for free' option alongside 'Request a demo'.,Not found in docs (Not found in docs),No,Not feasible,"The provided documentation text contains marketing overview and FAQ content only, with zero API endpoints, developer documentation, authentication details, or technical specifications.","<a href=""https://front.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">front.com/...</a>",Not found in docs,Not found in docs,No,No,JSON,HIGH,14
Pylon,Support and Helpdesk,Agentic support platform for B2B to track customer issues and orchestrate AI agents.,Not found in docs,Not found in docs,Not found in docs,REST (Not found in docs),Yes,Minor work,"Documentation content provided is sparse and lacks endpoint specifics, requiring reference to llms.txt or full docs.",,Not found in docs,Not found in docs,Yes,No,JSON,HIGH,15
LiveAgent,Support and Helpdesk,"All-in-one customer service platform with AI chatbot, live chat, ticketing, and call center.",Not found in docs,Not found in docs,Not found in docs,Not found in docs (Not found in docs),No,Not feasible,No API documentation or technical details are present in the provided content.,"<a href=""https://www.liveagent.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">www.liveagent.com/...</a>",None found,Not documented,No,No,JSON,HIGH,16
Plain,Support and Helpdesk,API-first customer support platform for B2B teams managing threads and queues.,Not found in docs,Not found in docs,Not found in docs,GraphQL (Not found in docs),No,Ready,None,"<a href=""https://plain.com/docs"" target=""_blank"" class=""text-blue-600 hover:underline"">plain.com/docs...</a>",Not found in docs,Not documented,No,No,JSON,HIGH,17
Help Scout,Support and Helpdesk,Provides tools and APIs to read and write Help Scout customer support data.,Not found in docs,Not found in docs,Not found in docs,REST (Medium (20-100 endpoints)),No,Ready,Not found in docs,"<a href=""https://developer.helpscout.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.helpscout.com/...</a>",Not found in docs,Not found in docs,Yes,No,JSON,HIGH,18
Gorgias,Support and Helpdesk,Customer service helpdesk platform for e-commerce stores providing tools and ticketing integrations.,Other,Self-serve free,"Private apps require no approval, while public apps require joining the developer portal and app store submission.",REST (Medium (20-100 endpoints)),No,Ready,None,"<a href=""https://developers.gorgias.com"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.gorgias.com...</a>",None found,Not documented,No,No,JSON,HIGH,19
Gladly,Support and Helpdesk,Customer service platform for managing conversations and integrating support workflows.,Not found in docs,Not found in docs,Not found in docs,REST (Not found in docs),No,Ready,,,Not found in docs,Not found in docs,Yes,No,JSON,HIGH,20
Slack,Communications and Messaging,Collaborative messaging platform for team communication and workflow automation.,OAuth2,Self-serve free,Developers can create Slack apps and connect to workspaces using the Slack CLI without prior approval.,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://api.slack.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">api.slack.com/...</a>","Java, JavaScript, Python",Not documented,Yes,Yes,JSON,HIGH,21
Twilio,Communications and Messaging,"APIs and tools for SMS, email, voice, and conversational AI communication channels.","Basic Auth, API Key",Free trial then paid,"Offers a free trial with no credit card required, moving to flexible pay-as-you-go pricing.",REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://www.twilio.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">www.twilio.com/...</a>","Python, C#, PHP, Ruby, Java, JavaScript",Not found in docs,Yes,Yes,JSON,HIGH,22
Zoho Cliq,Communications and Messaging,"Collaborative messaging platform enabling team communication, bots, integrations, and automated workflows.","OAuth2, Other",Self-serve free,Sign up for free is available to create a developer account and access APIs and tools.,REST (Medium (20-100 endpoints)),No,Ready,Not found in docs,"<a href=""https://www.zoho.com/developer/"" target=""_blank"" class=""text-blue-600 hover:underline"">www.zoho.com/developer/...</a>",None found,Not documented,No,No,JSON,HIGH,23
Lark (Larksuite),Communications and Messaging,"All-in-one collaboration suite combining chat, calendar, docs, and project management tools.","OAuth2, Bearer Token",Admin approval required,Creating custom apps and getting API credentials typically requires tenant administrator approval or enabling developer mode within the Lark organization console.,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://open.larksuite.com/document/home/index"" target=""_blank"" class=""text-blue-600 hover:underline"">open.larksuite.com/document/ho...</a>","Python, JavaScript, Go, Java",Varies by plan,Yes,Yes,JSON,HIGH,24
Pumble,Communications and Messaging,"Free team communication hub with channels, direct messages, voice calls, and video conferencing.",Not found in docs,Self-serve free,Provides a free forever tier with unlimited users and channels.,Not found in docs (Not found in docs),Yes,Ready,,"<a href=""https://pumble.com"" target=""_blank"" class=""text-blue-600 hover:underline"">pumble.com...</a>",Not found in docs,Not documented,No,No,JSON,HIGH,25
Discord,Communications and Messaging,"Build automated apps, commands, bots, and games inside Discord servers.",Not found in docs,Not found in docs,Not found in docs,Not found in docs (Not found in docs),No,Not feasible,"Insufficient documentation content provided to evaluate API specs, auth, or endpoints.","<a href=""discord.com"" target=""_blank"" class=""text-blue-600 hover:underline"">discord.com...</a>",Not found in docs,Not found in docs,No,No,Not found in docs,HIGH,26
Telegram,Communications and Messaging,Cloud-based mobile and desktop messaging app with API access for bots and custom clients.,"API Key, Other, Session",Self-serve free,Free to use and register applications or create bots via BotFather.,REST (Broad (100+ endpoints)),No,Ready,,"<a href=""https://core.telegram.org/"" target=""_blank"" class=""text-blue-600 hover:underline"">core.telegram.org/...</a>","Python, JavaScript, Go, Ruby, Java, Android, iOS, Windows, macOS, Linux",Not documented,Yes,No,JSON,HIGH,27
WhatsApp Business,Communications and Messaging,"Enables businesses to send messages, manage customer chats, and automate communications at scale via the WhatsApp Business Platform.","Bearer Token, OAuth 2.0",Self-serve free,"Developers can sign up for a Meta for Developers account, create an app, add the WhatsApp product, and access the WhatsApp Business API test environment immediately for free.",REST (Medium (20-100 endpoints)),No,Ready,None,"<a href=""https://developers.facebook.com/docs/whatsapp"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.facebook.com/docs/w...</a>, <a href=""https://developers.facebook.com/docs/whatsapp/cloud-api/get-started"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.facebook.com/docs/w...</a>","Node.js, Python, PHP, Ruby, Java, cURL","Varies by messaging tier (e.g., 80 messages per second, tiered messaging limits per phone number)",Yes,Yes,JSON,HIGH,28
Aircall,Communications and Messaging,"Leading communication and intelligence platform offering REST API, MCP, and Webhooks.",Other,Not found in docs,Not found in docs,Combination (Not found in docs),"<a href=""https://developer.aircall.io"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None,"<a href=""https://developer.aircall.io"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.aircall.io...</a>",None found,Not documented,Yes,Yes,JSON,HIGH,29
Vonage,Communications and Messaging,"Connect people globally via voice, video, messaging, and AI communication APIs.","JWT, API Key",Self-serve free,Developers can create a free account to get started with the platform.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://developer.vonage.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.vonage.com/...</a>","Node.js, Java, .NET, PHP, Python, Ruby",Not found in docs,Yes,Yes,JSON,HIGH,30
Google Ads,"Marketing, Ads, Email and Social","Create and manage online advertising campaigns across Google Search, Display, and YouTube.",OAuth2,Self-serve free,Developers can sign up for a Google Ads developer token and API access directly.,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://developers.google.com/google-ads"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.google.com/google-a...</a>","Python, Java, PHP, Ruby, Perl, .NET, JavaScript",Varies by plan,Yes,Yes,JSON,HIGH,31
Meta Ads,"Marketing, Ads, Email and Social","Manage marketing campaigns, target audiences, and ad performance on Meta platforms.","OAuth2, Bearer Token",Admin approval required,"Requires a Meta Developer account, app creation, and review/approval for Marketing API access and specific permissions.",REST (Broad (100+ endpoints)),No,Ready,,"<a href=""https://developers.facebook.com/docs/marketing-apis"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.facebook.com/docs/m...</a>","PHP, Python, JavaScript, Ruby, Java",Varies by plan,Yes,Yes,JSON,HIGH,32
LinkedIn Ads,"Marketing, Ads, Email and Social",Build and manage advertising campaigns programmatically on LinkedIn.,OAuth2,Admin approval required,"Developer portal access and app creation require LinkedIn Developer Platform review and approval, particularly for Marketing Developer Platform products.",REST (Medium (20-100 endpoints)),No,Ready,Requires specific developer account verification and product approval from LinkedIn to access Marketing APIs.,"<a href=""https://learn.microsoft.com/linkedin/marketing"" target=""_blank"" class=""text-blue-600 hover:underline"">learn.microsoft.com/linkedin/m...</a>",None found,Documented per endpoint/application limits in the LinkedIn Developer portal.,No,No,JSON,HIGH,33
GoHighLevel,"Marketing, Ads, Email and Social",Not found in docs,,Not found in docs,Not found in docs,Not found in docs (Not found in docs),No,Not feasible,"Insufficient documentation content provided to analyze API capabilities, endpoints, or authentication methods.","<a href=""https://highlevel.stoplight.io"" target=""_blank"" class=""text-blue-600 hover:underline"">highlevel.stoplight.io...</a>",None found,Not documented,No,No,JSON,MEDIUM,34
Mailchimp,"Marketing, Ads, Email and Social",Integrate data with intelligent marketing tools and event-driven transactional email and SMS.,Not found in docs,Not found in docs,Not found in docs,REST (Not found in docs),No,Ready,None,"<a href=""mailchimp.com/developer"" target=""_blank"" class=""text-blue-600 hover:underline"">mailchimp.com/developer...</a>",Not found in docs,Not found in docs,No,No,JSON,HIGH,35
Klaviyo,"Marketing, Ads, Email and Social",Build personalized marketing experiences and custom integrations using Klaviyo's API.,"API Key, OAuth2",Self-serve free,Get started for free and create test accounts to explore the API.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://developers.klaviyo.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.klaviyo.com/...</a>","Python, PHP, Ruby, Node",Not found in docs,Yes,Yes,JSON,HIGH,36
systeme.io,"Marketing, Ads, Email and Social","Manage contacts, tags, and core functionalities of the funnel builder platform programmatically.",API Key,Self-serve paid,API keys can be generated directly from the profile settings within the Systeme.io dashboard.,REST (Narrow (< 20 endpoints)),No,Ready,Not found in docs,"<a href=""https://developer.systeme.io/llms.txt"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.systeme.io/llms.txt...</a>",None found,Varies by plan,No,No,JSON,HIGH,37
Pinterest,"Marketing, Ads, Email and Social","Integrate with Pinterest to plan content, manage ads, and upload product feeds.",Not found in docs,Not found in docs,Not found in docs,REST (Not found in docs),No,Ready,None,"<a href=""developers.pinterest.com"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.pinterest.com...</a>",Not found in docs,Not documented,No,No,JSON,HIGH,38
Threads (Meta),"Marketing, Ads, Email and Social","Publish and manage posts, retrieve user profiles and analytics on Threads.",OAuth2,Self-serve free,Developers can create a Meta for Developers account and set up a Threads API app for free.,REST (Narrow (< 20 endpoints)),No,Ready,None,"<a href=""https://developers.facebook.com/docs/threads"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.facebook.com/docs/t...</a>",None found,Varies by plan,Yes,No,JSON,HIGH,39
SendGrid,"Marketing, Ads, Email and Social",Build transactional and marketing email solutions with Twilio SendGrid.,API Key,Self-serve free,Users can get started and send emails using open-source SDKs and API keys.,REST (Medium (20-100 endpoints)),No,Ready,Not found in docs,"<a href=""https://sendgrid.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">sendgrid.com/...</a>","C#, Go, Java, Node.js, PHP, Python, Ruby",Not found in docs,Yes,No,JSON,HIGH,40
Shopify,Ecommerce,"Extend Shopify functionality with apps, themes, storefronts, and agentic shopping experiences.","OAuth2, Session",Self-serve free,Developers can freely sign up and use the Shopify CLI and developer tools without upfront costs.,GraphQL (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://shopify.dev/"" target=""_blank"" class=""text-blue-600 hover:underline"">shopify.dev/...</a>","JavaScript, Ruby, Python, PHP",Not found in docs,Yes,Yes,JSON,HIGH,41
WooCommerce,Ecommerce,An open-source e-commerce platform built on WordPress for online stores.,"Other, Basic Auth, OAuth2",Open source / no auth needed,WooCommerce is an open-source platform where users self-host and can access APIs directly without restricted external admin approval.,REST (Broad (100+ endpoints)),"<a href=""https://woocommerce.com/document/woocommerce-rest-api"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,Not found in docs,"<a href=""https://woocommerce.com/document/woocommerce-rest-api"" target=""_blank"" class=""text-blue-600 hover:underline"">woocommerce.com/document/wooco...</a>",None found,Not documented,Yes,No,JSON,HIGH,42
BigCommerce,Ecommerce,"Manage products, orders, customers, and storefront experiences programmatically using APIs.","API Key, Bearer Token",Free trial then paid,Sign up for a free BigCommerce trial store to test API calls and build integrations.,combination (Broad (100+ endpoints)),"<a href=""https://developer.bigcommerce.com/docs/ai-agent-setup"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,Not found in docs,"<a href=""https://developer.bigcommerce.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.bigcommerce.com/...</a>",None found,Not documented,Yes,Yes,JSON,HIGH,43
Salesforce Commerce Cloud,Ecommerce,Enterprise cloud commerce platform for B2C and B2B online shopping experiences.,"OAuth2, JWT",Partner/contact-sales only,Salesforce Commerce Cloud typically requires enterprise contracts and partner or sales enablement to provision developer and production environments.,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://developer.salesforce.com/docs/commerce"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.salesforce.com/docs/...</a>","JavaScript, Java",Varies by plan,Yes,Yes,JSON,MEDIUM,44
Magento (Adobe Commerce),Ecommerce,"An extensible, API-first commerce platform for building multichannel B2B and B2C shopping experiences.",Not found in docs,Not found in docs,Not found in docs,combination (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://developer.adobe.com/commerce"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.adobe.com/commerce...</a>",Not found in docs,Not documented,Yes,Yes,JSON,HIGH,45
Squarespace,Ecommerce,"Build external apps, manage commerce, and integrate with Squarespace using APIs.",Not found in docs,Not found in docs,Not found in the provided documentation text.,REST (Medium (20-100 endpoints)),No,Ready,None,"<a href=""developers.squarespace.com"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.squarespace.com...</a>",Not found,Not documented,Yes,No,JSON,HIGH,46
Ecwid,Ecommerce,"Ecwid ecommerce platform API allows developers to build apps, customize stores, and automate integrations.","OAuth2, Other",Self-serve free,Developers can sign up and set up a dev environment to access the API with an app.,REST (Medium (20-100 endpoints)),No,Ready,Not found in docs,"<a href=""https://api-docs.ecwid.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">api-docs.ecwid.com/...</a>",None found,Not documented,Yes,No,JSON,HIGH,47
Gumroad,Ecommerce,"Sell digital products, memberships, and courses directly to audiences.","OAuth2, Bearer Token",Self-serve free,Developers can create an account and generate access tokens or set up OAuth applications directly through the dashboard.,REST (Narrow (< 20 endpoints)),No,Ready,None,"<a href=""https://app.gumroad.com/api"" target=""_blank"" class=""text-blue-600 hover:underline"">app.gumroad.com/api...</a>",None found,Not documented,Yes,No,JSON,MEDIUM,48
Amazon Selling Partner,Ecommerce,"Integrates selling partners with Amazon to manage orders, inventory, listings, and fulfillment.","OAuth2, Other",Admin approval required,Developer registration and authorization workflows require approval.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://developer-docs.amazon.com/sp-api"" target=""_blank"" class=""text-blue-600 hover:underline"">developer-docs.amazon.com/sp-a...</a>","C#, Java",Not documented,Yes,Yes,JSON,HIGH,49
fanbasis,Ecommerce,"All-in-one platform to create, sell, and get paid with built-in checkouts, funnels, and APIs.",Other,Partner/contact-sales only,No self-serve API documentation or keys are provided on the page; users must join a waitlist or contact sales.,REST (Narrow (< 20 endpoints)),Yes,Not feasible,"No API documentation, endpoints, or credentials are provided in the content.",,None found,Not documented,No,No,JSON,HIGH,50
DataForSEO,"Data, SEO and Scraping","Provide SEO data, analysis pipelines, and automations via REST API.",Other,Free trial then paid,The documentation mentions 'Free Unlimited Trial Info' and getting started via self-serve dashboard/playground.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://docs.dataforseo.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.dataforseo.com/...</a>","PHP, C#, Java, Python, TypeScript",Varies by endpoint (indicated in X-RateLimit-Limit HTTP header per minute),Yes,Yes,combination,HIGH,51
SE Ranking,"Data, SEO and Scraping",Comprehensive SEO and digital marketing platform providing tools for rank tracking and competitor analysis.,API Key,Self-serve paid,Users can access the API by subscribing to paid plans that include API access.,REST (Medium (20-100 endpoints)),No,Ready,None,"<a href=""https://seranking.com/api"" target=""_blank"" class=""text-blue-600 hover:underline"">seranking.com/api...</a>",None found,Varies by plan,No,No,JSON,MEDIUM,52
Ahrefs,"Data, SEO and Scraping",Access Ahrefs marketing and search data to build custom integrations and workflows.,"API Key, OAuth2",Partner/contact-sales only,Mention of Enterprise plan requirements and integration program application steps.,REST (Medium (20-100 endpoints)),"<a href=""https://ahrefs.com/api"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,Not found in docs,"<a href=""https://ahrefs.com/api"" target=""_blank"" class=""text-blue-600 hover:underline"">ahrefs.com/api...</a>",None found,Not documented,No,No,JSON,HIGH,53
MrScraper,"Data, SEO and Scraping",AI-powered and manual web scraping platform to extract and automate website data extraction.,API Key,Self-serve paid,"Users can sign up, understand subscription plans and token usage, and purchase tokens or subscriptions through billing.",REST (Medium (20-100 endpoints)),"<a href=""https://github.com"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None found in docs,"<a href=""https://docs.mrscraper.com"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.mrscraper.com...</a>","Python, Node.js, Go, PHP",Not documented,Yes,No,JSON,HIGH,54
Apify,"Data, SEO and Scraping","Cloud platform for web scraping, automation tools, and serverless microapps called Actors.",API Key,Self-serve free,Apify provides a platform with free starting options and self-serve capabilities.,REST (Broad (100+ endpoints)),"<a href=""https://docs.apify.com"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None found,"<a href=""https://docs.apify.com"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.apify.com...</a>","JavaScript, Python",Not documented,Yes,No,JSON,HIGH,55
Firecrawl,"Data, SEO and Scraping",Turn any website into LLM-ready clean markdown or structured data via API.,"Bearer Token, API Key",Self-serve free,"Create a free account for direct API access and higher limits, or get started without an account/API key for lower rate limits.",REST (Medium (20-100 endpoints)),"<a href=""https://docs.firecrawl.dev/"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None,"<a href=""https://docs.firecrawl.dev/"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.firecrawl.dev/...</a>","Python, JavaScript",Varies by plan,No,No,JSON,HIGH,56
Bright Data,"Data, SEO and Scraping","Scrape web data, buy ready-made datasets, and access proxy networks via API.","Bearer Token, API Key",Free trial then paid,"Provides 5,000 free credits per month with no credit card required.",REST (Medium (20-100 endpoints)),"<a href=""https://mcp.brightdata.com/sse?token=YOUR_API_KEY"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,,"<a href=""https://docs.brightdata.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.brightdata.com/...</a>","Python, JavaScript",Not documented,No,No,JSON,HIGH,57
Sherlock,"Data, SEO and Scraping",Finds social media accounts across social networks by username.,Open source / no auth needed,Open source / no auth needed,Sherlock is an open-source command-line tool available on GitHub with no authentication required.,CLI / Python library (Narrow (< 20 endpoints)),No,Ready,None,"<a href=""https://github.com/sherlock-project/sherlock"" target=""_blank"" class=""text-blue-600 hover:underline"">github.com/sherlock-project/sh...</a>",Python,Not documented,No,No,JSON,HIGH,58
Waterfall.io,"Data, SEO and Scraping","B2B contact and company data enrichment, prospecting, and verification API.",API Key,Not found in docs,Not found in docs,REST (Narrow (< 20 endpoints)),No,Ready,None,"<a href=""https://api.waterfall.io"" target=""_blank"" class=""text-blue-600 hover:underline"">api.waterfall.io...</a>",None found,Not documented,Yes,No,JSON,HIGH,59
Clay,"Data, SEO and Scraping","Programmatically search GTM data, run Clay logic, read tables, and manage audiences.",Not found in docs,Not found in docs,Not found in docs,REST (Medium (20-100 endpoints)),No,Ready,None,"<a href=""https://clay.com/docs"" target=""_blank"" class=""text-blue-600 hover:underline"">clay.com/docs...</a>",None found,Not documented,No,No,JSON,HIGH,60
GitHub,"Developer, Infra and Data platforms","Create integrations, retrieve data, and automate your workflows with the GitHub REST API.","Bearer Token, OAuth2",Self-serve free,GitHub offers free API access with generous rate limits for authenticated requests.,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://docs.github.com/rest"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.github.com/rest...</a>","JavaScript, Ruby, Python, Go, .NET","5,000 requests per hour for authenticated users",Yes,No,JSON,HIGH,61
Vercel,"Developer, Infra and Data platforms","Interact programmatically with Vercel to deploy applications, manage domains, and control projects.",Bearer Token,Self-serve free,Vercel accounts can be created for free and access tokens can be generated directly in account settings.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://vercel.com/docs/rest-api"" target=""_blank"" class=""text-blue-600 hover:underline"">vercel.com/docs/rest-api...</a>",None found,"Varies by plan (specified via response headers X-RateLimit-Limit, X-RateLimit-Remaining, and X-RateLimit-Reset)",Yes,No,JSON,HIGH,62
Netlify,"Developer, Infra and Data platforms","Manage atomic site deploys, form submissions, JavaScript snippets, and DNS configuration via REST API.","OAuth2, Bearer Token",Self-serve free,Users can sign up and generate personal access tokens or register OAuth applications directly through the Netlify UI.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://docs.netlify.com/api"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.netlify.com/api...</a>","Go, JavaScript",500 requests per minute for most requests (stricter limits for deployments like 3/min and 100/day),No,No,JSON,HIGH,63
Cloudflare,"Developer, Infra and Data platforms","Manage Cloudflare accounts, zones, tokens, billing, and infrastructure via API.","API Key, Bearer Token",Self-serve free,Cloudflare provides a self-serve platform where users can sign up for free accounts and access API tokens directly.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://developers.cloudflare.com/api"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.cloudflare.com/api...</a>","TypeScript, Python, Go, Terraform",Not found in docs,No,No,JSON,HIGH,64
